"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN09CA121","ACC","73202","2008-12-31T15:30:00Z","Greene","Iowa","United States",,"N899CB","15076699","false","Aviation","DirectorBrief","2009-05-06T04:00:00Z",,"None","0","0","0","0","0","A loss of engine power due to undetermined reasons.  Contributing to the accident was the rough, snow-covered terrain.","Not determined - Not determined - (general) - (general) - Unknown/Not determined, Environmental issues - Physical environment - Terrain - Rough terrain - Contributed to outcome, Environmental issues - Physical environment - Terrain - Snowy/icy terrain - Contributed to outcome, Aircraft - Aircraft power plant - Engine (reciprocating) - (general) - Not specified",,"42.741942999999999","-92.508055999999996","CESSNA","150M","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC","Kevin E. Brown","Maneuvering","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/73202/pdf"
"ERA09CA127","ACC","73192","2008-12-31T15:30:00Z","Port Orange","Florida","United States",,"N37MD","18053012","false","Aviation","DirectorBrief","2009-03-23T04:00:00Z",,"None","0","0","0","0","0","The pilot's inadequate compensation for the wind conditions during landing. Contributing to the accident were the gusting wind conditions and the pilot's lack of experience in the make and model airplane.","Personnel issues - Experience/knowledge - Experience/qualifications - Total experience w/ equipment - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Contributed to outcome, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Response/compensation, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"29.080278","-81.046668999999994","CESSNA","180K","AIR","7FL6","Spruce Creek Airport","false","1","REC",,"INST","091","Substantial","VMC","Andrew G. Spaulding","Landing","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/73192/pdf"
"DCA09FA025","ACC","73231","2008-12-31T13:59:00Z","New York","New York","United States",,"N844MJ","145481","false","Aviation","DirectorBrief","2011-12-27T05:00:00Z",,"None","0","0","0","0","0","The tug driver's failure to comply with ramp safety procedures.","Aircraft - Aircraft handling/service - Towing and taxiing - Taxiing - Not specified",,"40.639719999999997","-73.770278000000005","EMBRAER","EMB145","AIR","JFK","John F. Kennedy International","false","2","TF","SCHD",,"121","Substantial","IMC","Freedom Airlines Inc.,","Pushback/Tow","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/73231/pdf"
"ERA09CA120","ACC","73173","2008-12-31T13:30:00Z","Panama City","Florida","United States",,"N36254","1186","false","Aviation","DirectorBrief","2009-02-25T05:00:00Z",,"None","0","0","0","0","0","The pilot's encounter with a loss of tail rotor effectiveness during an out-of-ground-effect hover.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Yaw control - Capability exceeded",,"30.109722000000001","-85.713890000000006","SCHWEIZER","269C","HELI","0FD1","Panhandle Helicopter Heliport","false","1","REC",,"OWRK","091","Substantial","VMC","EMERALD COAST HELICOPTERS LLC","Uncontrolled Descent","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/73173/pdf"
"CEN09CA123","ACC","73205","2008-12-31T13:15:00Z","Fort Collins","Colorado","United States",,"N732YK","21061879","false","Aviation","DirectorBrief","2009-06-11T04:00:00Z",,"None","0","0","0","0","0","A total loss of engine power due to fuel starvation as a result of the pilot's failure to select the fullest tank before landing.","Aircraft - Aircraft systems - Fuel system - Fuel transfer valve - Incorrect use/operation, Personnel issues - Task performance - Use of equip/info - (general) - Pilot",,"40.451667","-105.01139000000001","CESSNA","T210M","AIR","FNL","Fort Collins-Loveland","false","1","REC",,"PERS","091","Substantial","VMC",,"Approach","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/73205/pdf"
"ERA09CA118","ACC","73169","2008-12-31T13:00:00Z","Brunswick","Georgia","United States",,"N7138L","AA5-0638","false","Aviation","DirectorBrief","2009-03-23T04:00:00Z",,"None","0","0","0","0","0","The pilot's failure to maintain control of the airplane during the landing flare. Contributing to the accident were the gusting winds.","Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - High wind - Response/compensation, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained",,"31.258610999999998","-81.466391999999999","GRUMMAN AMERICAN AVN. CORP.","AA-5","AIR","BQK","Brunswick Golden Isles Airport","false","1","REC",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/73169/pdf"
"ANC09LA017","ACC","73191","2008-12-31T11:40:00Z","Hoonah","Alaska","United States",,"N39AK","20700597","false","Aviation","DirectorBrief","2009-05-12T04:00:00Z",,"None","0","0","0","0","0","The pilot's failure to ensure that the aft cargo door was properly latched and locked prior to departure, which resulted in an in-flight opening of the aft cargo door and subsequent damage to the airplane.","Aircraft - Aircraft structures - Doors - Cargo/baggage doors - Incorrect use/operation, Personnel issues - Action/decision - Action - Incomplete action - Pilot, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot",,"58.177776000000001","-135.258895","CESSNA","207A","AIR",,,"false","1","REC","SCHD",,"135","Substantial","VMC","Alaska Juneau Aeronautics Inc.","Enroute","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/73191/pdf"
"ERA09FA116","ACC","73167","2008-12-30T20:00:00Z","Pittstown","New Jersey","United States",,"N95156","28-25826","false","Aviation","DirectorBrief","2010-03-23T04:00:00Z","2009-12-30T15:46:00Z","Fatal","1","1","0","2","0","The pilot's failure to maintain an adequate clearance from trees during the night landing approach and the flight instructor's inadequate remedial action.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Action/decision - Action - Lack of action - Instructor/check pilot, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Effect on operation, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on operation",,"40.591945000000003","-75.004997000000003","PIPER","PA-28-140","AIR","N85","Alexandria Airport","false","1","REC",,"INST","091","Substantial","VMC",,"Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=73167","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/73167/pdf"
"ERA09CA117","ACC","73168","2008-12-30T19:05:00Z","Chattanooga","Tennessee","United States",,"N400SC","D-4569","false","Aviation","DirectorBrief","2009-03-23T04:00:00Z",,"None","0","0","0","0","0","The pilot's failure to see and avoid the marked helicopter dolly. Contributing to the accident were the dark night conditions.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Effect on personnel",,"35.035277999999998","-85.203613000000004","BEECH","G35","AIR","CHA","Lovell Field","false","1","REC",,"PERS","091","Substantial","VMC","James W. Roberts, Jr.","Taxi","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/73168/pdf"
"WPR09CA093","ACC","73255","2008-12-30T14:06:00Z","San Jose","California","United States",,"N8679","10-39","false","Aviation","DirectorBrief","2009-04-15T04:00:00Z",,"None","0","0","0","0","0","The pilot's failure to maintain clearance from an obstacle during taxi.","Environmental issues - Physical environment - Object/animal/substance - Residence/building - Awareness of condition, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot",,"37.332777999999998","-121.81972500000001","STEMME GMBH & CO","S-10","GLI","RHV","Reid-Hillview Airport","false","1","REC",,"PERS","091","Substantial","VMC",,"Taxi","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/73255/pdf"
